Variable,dT_0,dYH2_0,dYH_0,dYO_0,dYO2_0,dYOH_0,dYH2O_0,dYHO2_0,dYH2O2_0,dYAR_0,dYN2_0
dT_f,1.000095960190e+00,-1.345525168138e-02,2.909525163458e+07,3.443152939348e+06,1.474481392580e-02,1.710376645465e+06,-6.167268764839e-02,4.385078649692e+03,5.297927667878e+03,-1.430510298320e-03,-3.726237272170e-03
dYH2_f,-2.735521484536e-09,1.000000138818e+00,-7.630664993414e+02,-9.049062949169e+01,-4.076493109808e-07,-4.491072342958e+01,1.804671220343e-06,-1.169594328822e-01,-1.410534875103e-01,2.473926650155e-08,7.855779535651e-08
dYH_f,2.933945226413e-10,-1.295466283170e-08,6.863585886529e+01,8.122994750000e+00,3.572699421286e-08,4.029401318836e+00,-2.160363336809e-07,1.084737725369e-02,1.307837875879e-02,-9.820565935119e-10,-6.689657465810e-09
dYO_f,5.159393433152e-10,-1.622198327628e-07,1.199893973254e+02,1.420064905849e+01,8.015933362681e-08,7.044211033720e+00,-3.724144178884e-07,1.894983463668e-02,2.284828664013e-02,-1.842052725615e-09,-1.173090732343e-08
dYO2_f,-3.420779934428e-08,1.667900120501e-06,-9.957002001445e+03,-1.177540894826e+03,9.999946487828e-01,-5.844818493241e+02,2.177506364701e-05,-1.509710782939e+00,-1.822281527121e+00,3.636976011043e-07,1.037276920657e-06
dYOH_f,1.843791424387e-10,-5.760783273189e-08,4.190273043401e+01,4.959149236260e+00,2.809401077793e-08,2.459980937394e+00,-1.301900980510e-07,6.627693228458e-03,8.011816750646e-03,-6.293802055084e-10,-4.092688653409e-09
dYH2O_f,1.635476065280e-08,-9.241521234483e-07,4.568262939751e+03,5.413649906994e+02,2.438561218321e-06,2.692178232236e+02,9.999891664806e-01,6.928548655624e-01,8.498047031844e-01,-1.464353312784e-07,-4.687336132067e-07
dYHO2_f,1.950552758946e-08,-6.781314106840e-07,5.892278458516e+03,6.968451483746e+02,3.163756252451e-06,3.458808748210e+02,-1.198393631031e-05,1.870314536459e+00,1.078775895281e+00,-2.368922229672e-07,-6.212372817523e-07
dYH2O2_f,8.931957724248e-11,2.834793105892e-08,2.999911563479e+01,3.538592168009e+00,1.256865474139e-08,1.760281403840e+00,-4.363826072968e-08,2.707590863763e-02,9.908159339654e-01,-1.655826656964e-09,-3.350567588616e-09
dYAR_f,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
dYN2_f,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00
